Sample Number,Pass Number,Simulant Year,Titanium Peak Value,Iron Peak Value,Titanium Content,Iron Content
01,00,2025,6301.0,137203.0,0,0
01,01,2025,7826.0,180915.0,0,0
01,02,2025,8433.0,206542.0,0,0
02,00,2025,7026.0,136442.0,0,0
02,01,2025,10021.0,201504.0,0,0
02,02,2025,6611.0,155225.0,0,0
03,00,2025,6002.0,130982.0,0,0
03,01,2025,7575.0,184416.0,0,0
03,02,2025,7821.0,164782.0,0,0
04,00,2025,5045.0,122937.0,0,0
04,01,2025,9169.0,181818.0,0,0
04,02,2025,8107.0,152299.0,0,0
05,00,2025,6009.0,142795.0,0,0
05,01,2025,7803.0,172373.0,0,0
05,02,2025,6029.0,133064.0,0,0
06,01,2025,8246.0,172632.0,0,0
06,02,2025,9714.0,203508.0,0,0
07,01,2025,7519.0,169453.0,0,0
08,01,2025,10293.0,156446.0,0,0
09,01,2025,8926.0,184892.0,0,0
10,01,2025,6860.0,165899.0,0,0
11,01,2025,6356.0,130532.0,0,0
12,01,2025,4400.0,107379.0,0,0
13,01,2025,8726.0,155862.0,0,0
14,01,2025,6997.0,154583.0,0,0
15,01,2025,7264.0,161223.0,0,0
