,,,,Measured,,,Final (Equation - do not type),,
Trial,Pass,Cup Mass (g),Starting Regolith Mass (g),Mass 1 (g),Mass 2 (g),Mass 3 (g),Mass 1 (g),Mass 2 (g),Mass 3 (g)
1,1,4.32,30.45,14.84,-,-,10.52,-,-
2,1,4.22,30.94,15.72,-,-,11.5,-,-
3,1,4.12,30.58,15.26,-,-,11.14,-,-
4,1,4.23,30.73,14.85,-,-,10.62,-,-
5,1,4.16,30.73,15.07,-,-,10.91,-,-
1,2,4.37,30.36,15.32,8.1,-,10.95,3.73,-
2,2,4.17,30.9,15.31,8.22,-,11.14,4.05,-
3,2,4.33,30.68,15.83,8.51,-,11.5,4.18,-
4,2,4.31,30.32,14.22,7.75,-,9.91,3.44,-
5,2,4.37,30.7,14.83,8.8,-,10.46,4.43,-
1,3,4.44,30.76,14.75,8.15,5.77,10.31,3.71,1.33
2,3,4.49,30.13,15.09,9.18,6.25,10.6,4.69,1.76
3,3,4.26,30.85,15.02,8.69,5.95,10.76,4.43,1.69
4,3,4.3,30.71,14.19,8.37,5.81,9.89,4.07,1.51
5,3,4.27,30.47,13.99,7.73,5.59,9.72,3.46,1.32
6,1,4.17,30.45,15.23,-,-,11.06,-,-
7,1,4.38,30.42,15.42,-,-,11.04,-,-
8,1,4.32,30.62,15.42,-,-,11.1,-,-
9,1,4.32,30.29,15.12,-,-,10.8,-,-
10,1,4.28,30.83,-,-,-,-,-,-
6,2,4.29,30.55,15.32,8.25,-,11.03,3.96,-
7,2,4.32,30.5,15.29,8.12,-,10.97,3.8,-
8,2,4.3,30.36,15.14,8.17,-,10.84,3.87,-
9,2,4.27,30.15,15.01,8.01,-,10.74,3.74,-
10,2,4.27,30.23,15.16,7.89,-,10.89,3.62,-
6,3,4.28,30.15,14.24,7.42,5.38,9.96,3.14,1.1
7,3,4.41,30.32,15.1,7.7,5.59,10.69,3.29,1.18
8,3,4.26,30.47,14.95,8.09,5.73,10.69,3.83,1.47
9,3,4.18,30.25,15.24,8.41,5.64,11.06,4.23,1.46
10,3,4.26,30.48,15.84,8.67,5.85,11.58,4.41,1.59
11,1,4.28,30.36,15.62,-,-,11.34,-,-
12,1,4.31,30.93,15.41,-,-,11.1,-,-
13,1,4.39,30.63,15.78,-,-,11.39,-,-
14,1,4.36,30.2,14.52,-,-,10.16,-,-
15,1,4.23,30.44,15.44,-,-,11.21,-,-
11,2,4.19,30.41,15.39,8.14,-,11.2,3.95,-
12,2,4.39,30.28,15.49,8.35,-,11.1,3.96,-
13,2,4.32,30.52,15.23,7.92,-,10.91,3.6,-
14,2,4.18,30.31,15.7,8.17,-,11.52,3.99,-
15,2,4.3,30.51,15.03,8.1,-,10.73,3.8,-
11,3,4.18,31.93,16.18,8.68,5.73,12,4.5,1.55
12,3,4.5,30.22,15.26,8.29,5.23,10.76,3.79,0.73
13,3,4.33,30.33,15.53,8.44,5.81,11.2,4.11,1.48
14,3,4.27,30.64,15.96,8.64,5.76,11.69,4.37,1.49
15,3,4.29,30.63,15.73,8.3,5.73,11.44,4.01,1.44
