Sample Number,Total Mass,Ilm. Mass (g),Matrix Mass (g),Ilmenite (%w)
1,3,0,3,0.00000
2,3,0,3,0.00000
3,3.008,0,3.008,0.00000
4,2.9955,0.0018,2.9937,0.06009
5,3.002,0.0027,2.9993,0.08994
6,3.0044,0.0045,2.9999,0.14978
7,3.0104,0.007,3.0034,0.23253
8,3.0054,0.0123,2.9931,0.40926
9,3.0104,0.0135,2.9969,0.44845
10,3.0059,0.0143,2.9916,0.47573
11,3.0005,0.0229,2.9776,0.76321
12,3.0152,0.0247,2.9905,0.81918
13,2.9963,0.0278,2.9685,0.92781
14,2.9998,0.0304,2.9694,1.01340
15,3.0347,0.0397,2.995,1.30820
16,3.0081,0.0506,2.9575,1.68212
17,3.0777,0.0611,3.0166,1.98525
18,2.998,0.0727,2.9253,2.42495
19,3.0839,0.0806,3.0033,2.61357
20,3.0442,0.1126,2.9316,3.69884
21,3.0019,0.1224,2.8795,4.07742
22,3.0464,0.1402,2.9062,4.60215
23,2.9841,0.1496,2.8345,5.01324
24,2.9912,0.1916,2.7996,6.40546
25,3.0042,0.2016,2.8026,6.710605153
26,3.0041,0.2407,2.7634,8.012383076
27,3.0682,0.3007,2.7675,9.800534515
28,3.0635,0.3569,2.7066,11.65007345
29,4.139,0.9344,3.2046,22.57550133
30,3.9593,1.2067,2.7526,30.47760968
31,4.0049,2.0098,1.9951,50.18352518
32,4.0072,2.8005,1.2067,69.88670393
33,4.012,3.3299,0.6821,82.99850449
34,4.006,3.6435,0.363,90.95107339
35,3.8622,3.8622,0,100
